id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
58,steno-bredanensis,Rough-toothed Dolphin,Steno bredanensis,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
59,lagenodelphis-hosei,Fraser's Dolphin,Lagenodelphis hosei,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
60,lagenorhynchus-cruciger,Hourglass Dolphin,Lagenorhynchus cruciger,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
61,lissodelphis-peronii,Southern Right Whale Dolphin,Lissodelphis peronii,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
62,peponocephala-electra,Melon-headed Whale,Peponocephala electra,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
63,stenella-attenuata,Pantropical Spotted Dolphin,Stenella attenuata,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
64,stenella-coeruleoalba,Striped Dolphin,Stenella coeruleoalba,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
65,delphinus-delphis,Common Dolphin,Delphinus delphis,mammal,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
66,feresa-attenuata,Pygmy Killer Whale,Feresa attenuata,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
67,tursiops-truncatus,Bottlenose Dolphin,Tursiops truncatus,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
68,cisticola-juncidis-normani,Normanton Zitting Cisticola,Cisticola juncidis normani,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
69,phalacrocorax-carbo,Great Cormorant,Phalacrocorax carbo,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
70,phalacrocorax-carbo-novaehollandiae,Great Cormorant,Phalacrocorax carbo novaehollandiae,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
71,phalacrocorax-varius,Pied Cormorant,Phalacrocorax varius,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
72,phalacrocorax-varius-hypoleucos,Australian Pied Cormorant,Phalacrocorax varius hypoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
73,phalacrocorax-sulcirostris,Little Black Cormorant,Phalacrocorax sulcirostris,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
74,microcarbo-melanoleucos,Little Pied Cormorant,Microcarbo melanoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
75,microcarbo-melanoleucos-melanoleucos,Australasian Little Pied Cormorant,Microcarbo melanoleucos melanoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
76,tribonyx-ventralis,Black-tailed Native-hen,Tribonyx ventralis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
77,antigone-rubicunda,Brolga,Antigone rubicunda,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
78,corvus-tasmanicus,Forest Raven,Corvus tasmanicus,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
79,anous-albivitta-albivitta,Western Pacific Grey Noddy,Anous albivitta albivitta,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
80,spatula-rhynchotis,Australasian Shoveler,Spatula rhynchotis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
81,cereopsis-novaehollandiae,Cape Barren Goose,Cereopsis novaehollandiae,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
82,cereopsis-novaehollandiae-novaehollandiae,Eastern Cape Barren Goose,Cereopsis novaehollandiae novaehollandiae,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
83,anas-eatoni,Eaton's pintail,Anas eatoni,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
84,spatula-querquedula,Garganey,Spatula querquedula,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
85,anas-gracilis,Grey Teal,Anas gracilis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
86,anas-gracilis-gracilis,Anas gracilis gracilis,Anas gracilis gracilis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
87,aythya-australis,Hardhead,Aythya australis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
88,biziura-lobata,Musk Duck,Biziura lobata,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
89,biziura-lobata-lobata,Musk Duck,Biziura lobata lobata,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
90,biziura-lobata-menziesi,Musk Duck,Biziura lobata menziesi,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
91,malacorhynchus-membranaceus,Pink-eared Duck,Malacorhynchus membranaceus,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
