id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus,alaGuid,endemicCandidate,endemicCandidateNotes,conservationStatusCandidate,conservationStatusCandidateRaw,bioCandidate,imageUrlCandidate,imageAttributionCandidate,fluStatusCandidate,scriptStatus,scriptError
61,lissodelphis-peronii,Southern Right Whale Dolphin,Lissodelphis peronii,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/d65a2ee8-6643-4178-b7a4-f669de9de7d6,,,,,,,,,done,
62,peponocephala-electra,Melon-headed Whale,Peponocephala electra,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/4cd3e7a7-e0da-4a19-8a11-ba86452d993f,,,,,,,,,done,
63,stenella-attenuata,Pantropical Spotted Dolphin,Stenella attenuata,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/be54a789-643e-4687-8f97-48361a4a045a,,,,,,,,,done,
64,stenella-coeruleoalba,Striped Dolphin,Stenella coeruleoalba,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/a45359db-a68d-4392-9526-e341dca39a99,,,,,,,,,done,
65,delphinus-delphis,Common Dolphin,Delphinus delphis,mammal,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/d499cc7e-8cd7-4b5b-9ed7-a7af04cdac2d,,,,,,,,,done,
66,feresa-attenuata,Pygmy Killer Whale,Feresa attenuata,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/9399cf1b-3b76-4a81-aea2-253f078c0a7f,,,,,,,,,done,
67,tursiops-truncatus,Bottlenose Dolphin,Tursiops truncatus,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/4879e221-7361-44c7-bc71-1c16a4fc3125,,,,,,,,,done,
68,cisticola-juncidis-normani,Normanton Zitting Cisticola,Cisticola juncidis normani,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/c6a2ca04-ad1a-4f32-a431-af33ba5d1c25,,,,,,,,,done,
69,phalacrocorax-carbo,Great Cormorant,Phalacrocorax carbo,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/29472c00-22e3-42c3-b562-107bd28d1bdc,,,,,,,,,done,
70,phalacrocorax-carbo-novaehollandiae,Great Cormorant,Phalacrocorax carbo novaehollandiae,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/fedb1dfe-37ad-4bd7-aa97-4509b2ac84be,,,,,,,,,done,
71,phalacrocorax-varius,Pied Cormorant,Phalacrocorax varius,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1,,,,,,,,,done,
72,phalacrocorax-varius-hypoleucos,Australian Pied Cormorant,Phalacrocorax varius hypoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/b5bec09a-5ab1-4676-ad46-83642025bc76,,,,,,,,,done,
73,phalacrocorax-sulcirostris,Little Black Cormorant,Phalacrocorax sulcirostris,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/c96b19fd-2a54-4361-a5cf-baecf741310e,,,,,,,,,done,
74,microcarbo-melanoleucos,Little Pied Cormorant,Microcarbo melanoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/0b7c528a-4104-4a96-853e-05a37c327067,,,,,,,,,done,
75,microcarbo-melanoleucos-melanoleucos,Australasian Little Pied Cormorant,Microcarbo melanoleucos melanoleucos,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/0e44df9f-a1fa-4fa2-a05d-1296a416d768,,,,,,,,,done,
76,tribonyx-ventralis,Black-tailed Native-hen,Tribonyx ventralis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/4491debc-214f-46a2-95cf-572fe0150d0d,,,,,,,,,done,
77,antigone-rubicunda,Brolga,Antigone rubicunda,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/44746d45-d033-4d44-9d2c-73ca21109366,,,,,,,,,done,
78,corvus-tasmanicus,Forest Raven,Corvus tasmanicus,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/ae55e04a-62da-4113-a28b-88d5bed604e2,,,,,,,,,done,
79,anous-albivitta-albivitta,Western Pacific Grey Noddy,Anous albivitta albivitta,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/9ba0729c-63a4-4808-a8ab-b920b902d235,,,,,,,,,done,
80,spatula-rhynchotis,Australasian Shoveler,Spatula rhynchotis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/bdf18035-665d-47a1-bb8b-789aaf62223e,,,,,,,,,done,
81,cereopsis-novaehollandiae,Cape Barren Goose,Cereopsis novaehollandiae,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/761b6ef0-987e-4a10-88bb-fc704a5049cb,,,,,,,,,done,
82,cereopsis-novaehollandiae-novaehollandiae,Eastern Cape Barren Goose,Cereopsis novaehollandiae novaehollandiae,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/758183e7-ad6f-4844-81fb-6f160ea08751,,,,,,,,,done,
83,anas-eatoni,Eaton's pintail,Anas eatoni,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,,,,,,,,,,done,
84,spatula-querquedula,Garganey,Spatula querquedula,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/a5a1af00-5927-4180-9c90-089a1c7854ae,,,,,,,,,done,
85,anas-gracilis,Grey Teal,Anas gracilis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/da09d4a3-450a-4c86-8338-8b843ed599e4,,,,,,,,,done,
86,anas-gracilis-gracilis,Anas gracilis gracilis,Anas gracilis gracilis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,,,,,,,,,,done,
87,aythya-australis,Hardhead,Aythya australis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,,,,,,,,,,done,
