id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
,phalacrocorax-varius-hypoleucos,Australian Pied Cormorant,Phalacrocorax varius hypoleucos,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,phalacrocorax-sulcirostris,Little Black Cormorant,Phalacrocorax sulcirostris,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,microcarbo-melanoleucos,Little Pied Cormorant,Microcarbo melanoleucos,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,microcarbo-melanoleucos-melanoleucos,Australasian Little Pied Cormorant,Microcarbo melanoleucos melanoleucos,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,tribonyx-ventralis,Black-tailed Native-hen,Tribonyx ventralis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,antigone-rubicunda,Brolga,Antigone rubicunda,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,corvus-tasmanicus,Forest Raven,Corvus tasmanicus,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,anous-albivitta-albivitta,Western Pacific Grey Noddy,Anous albivitta albivitta,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,spatula-rhynchotis,Australasian Shoveler,Spatula rhynchotis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,cygnus-atratus,Black Swan,Cygnus atratus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,cereopsis-novaehollandiae,Cape Barren Goose,Cereopsis novaehollandiae,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,cereopsis-novaehollandiae-novaehollandiae,Eastern Cape Barren Goose,Cereopsis novaehollandiae novaehollandiae,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,anas-eatoni,Eaton's pintail,Anas eatoni,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,spatula-querquedula,Garganey,Spatula querquedula,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,anas-gracilis,Grey Teal,Anas gracilis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,anas-gracilis-gracilis,Anas gracilis gracilis,Anas gracilis gracilis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,aythya-australis,Hardhead,Aythya australis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,biziura-lobata,Musk Duck,Biziura lobata,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,biziura-lobata-lobata,Musk Duck,Biziura lobata lobata,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
